date;breaches;d95;d99;ret
2018-05-20;0.0;-0.03640441223169171;-0.05148745494020845;0.029019601
2018-05-27;0.4478585;-0.03769401694182235;-0.05331136749182298;-0.07362122
2018-06-03;0.0;-0.03731905009772472;-0.05278104472856346;0.04936922
2018-06-10;0.0;-0.041243628114501385;-0.058331650312087015;0.0036985200000000003
2018-06-17;0.0;-0.042327680962901855;-0.05986484694302271;-0.002310069999999999
2018-06-24;0.0;-0.04181639238887937;-0.059141721755644756;-0.008826999999999998
2018-07-01;0.0;-0.041092617112092146;-0.05811807256957226;0.00975162
2018-07-08;0.0;-0.041043335603660955;-0.05804837279173798;0.0013852989999999978
2018-07-15;0.0;-0.040555297043794736;-0.05735813054307117;0.0068982
2018-07-22;0.0;-0.04012765674785471;-0.05675331071168103;-0.0250593
2018-07-29;0.0;-0.039796360842008126;-0.05628475258978111;0.0018779799999999996
2018-08-05;0.0;-0.038830218445796205;-0.054918318961511135;0.01212139
2018-08-12;0.0;-0.038833091577803965;-0.05492238248693892;-0.0037140149999999985
2018-08-19;0.0;-0.03841290224348337;-0.05432810069275701;-0.013108847999999998
2018-08-26;0.0;-0.038351735823369905;-0.05424159185752564;0.0234894
2018-09-02;0.0;-0.038665235815556344;-0.054684980879129;-0.0009293689999999993
2018-09-09;0.0;-0.0388235766027318;-0.05490892527611602;-0.027334382000000004
2018-09-16;0.0;-0.038818071724630615;-0.054901139621965585;0.034745219
2018-09-23;0.0;-0.03910022642381846;-0.055300196397505434;-5.99999999944395e-09
2018-09-30;0.0;-0.039533076300857374;-0.0559123842388604;0.05738922
2018-10-07;0.0;-0.03940781190559479;-0.05573522041416664;-0.005242490000000001
2018-10-14;0.0;-0.0409971671708253;-0.05798307589612662;-0.03249792
2018-10-21;0.0;-0.041104574738199;-0.058134984468367665;0.009457370000000001
2018-10-28;0.4478585;-0.04206259853238613;-0.05948993580286322;-0.049619821
2018-11-04;0.0;-0.04205845161843128;-0.05948407074331956;-0.0047215
2018-11-11;0.0;-0.043863211312032434;-0.062036576818978714;-0.014779750000000001
2018-11-18;0.0;-0.043733123530747285;-0.061852591187386514;0.002398540000000001
2018-11-25;0.4478585;-0.043158982298249264;-0.06104057228568253;-0.06347311
2018-12-02;0.0;-0.04313284827843659;-0.061003610442734814;0.0329561
2018-12-09;0.0;-0.04589303180298895;-0.06490739067526875;0.0004984999999999989
2018-12-16;0.0;-0.04632215910320825;-0.06551431360518824;-0.03165226
2018-12-23;0.4478585;-0.04625564979387993;-0.06542024821977967;-0.05826375
2018-12-30;0.0;-0.04647812991925034;-0.06573490610677418;0.002179199999999999
2019-01-06;0.0;-0.04855865132468564;-0.06867742723395874;0.04261629
2019-01-13;0.0;-0.04772694240527618;-0.06750112543738186;-0.00208821
2019-01-20;0.0;-0.04850455513001017;-0.06860091795348845;0.01143175
2019-01-27;0.0;-0.0482160051990812;-0.06819281627965422;-0.01956504
2019-02-03;0.0;-0.04811500744346763;-0.06804997322650669;0.018789700000000003
2019-02-10;0.0;-0.0474413737777811;-0.06709724027788765;-0.002070439999999998
2019-02-17;0.0;-0.04725148088003707;-0.0668286711288011;0.037126069
2019-02-24;0.0;-0.04715471983588708;-0.06669182013752749;-0.009948235000000001
2019-03-03;0.0;-0.047389911192156756;-0.06702445576095667;-0.024488913
2019-03-10;0.0;-0.046705494855595324;-0.06605647267514894;-0.01154871
2019-03-17;0.0;-0.04696740287057964;-0.06642689417884363;0.015975190000000004
2019-03-24;0.0;-0.04707295435169385;-0.0665761776528674;0.005441120000000001
2019-03-31;0.0;-0.04704210019559063;-0.06653254003108759;-0.02432447
2019-04-07;0.0;-0.046935738189338556;-0.06638211021589374;0.01862348
2019-04-14;0.0;-0.04670915279866257;-0.06606164617383505;0.023627219999999997
2019-04-21;0.0;-0.045935084528341844;-0.06496686664724545;0.0070814
2019-04-28;0.0;-0.046253042319192396;-0.06541656041856954;-0.02062447
2019-05-05;0.0;-0.045585611121986606;-0.06447259973948716;-0.01529521
2019-05-12;0.0;-0.04583091480798686;-0.06481953742383219;-0.044879324
2019-05-19;0.0;-0.04434860517952558;-0.0627230786287525;0.017756920000000002
2019-05-26;0.4478585;-0.04484144817465957;-0.06342011588190359;-0.06453857
2019-06-02;0.0;-0.04191542036659795;-0.05928177891432528;-0.028220602
2019-06-09;0.0;-0.04265901676647929;-0.06033346149304475;0.01714495
2019-06-16;0.0;-0.042995693416933156;-0.06080962970472578;-0.003817329999999999
2019-06-23;0.0;-0.04327519036062613;-0.06120492756595015;0.01547246
2019-06-30;0.0;-0.04325935765832904;-0.06118253507294917;-0.02433773
2019-07-07;0.0;-0.04337585564382961;-0.061347300397023366;0.007982319999999998
2019-07-14;0.0;-0.04361874026802498;-0.061690816756093766;0.012873210000000001
2019-07-21;0.4478585;-0.04363429497113492;-0.061712816069539184;-0.05928107
2019-07-28;0.0;-0.04352370325436929;-0.06155640409404866;-0.012102540000000002
2019-08-04;0.0;-0.04536503432487537;-0.06416063376597163;-0.0326856
2019-08-11;0.0;-0.04522557281482372;-0.06396339069090211;-0.03445785
2019-08-18;0.0;-0.04566946090761601;-0.06459119009144405;-0.01581726
2019-08-25;0.0;-0.04612149003944291;-0.06523050351885158;0.04436392
2019-09-01;0.0;-0.04564610627361369;-0.06455815918688813;0.026668180000000003
2019-09-08;0.0;-0.04712957770935961;-0.06665626114818177;0.04793397300000002
2019-09-15;0.0;-0.04744190428386495;-0.06709799058276592;0.06541759999999999
2019-09-22;0.0;-0.048129903574928926;-0.06807104110950163;0.035190030000000004
2019-09-29;0.0;-0.050755024452372954;-0.07178379966277217;-0.03605013
2019-10-06;0.0;-0.049561823460954474;-0.07009623273024553;-0.04097732
2019-10-13;0.0;-0.050116812784052944;-0.07088116472100169;0.020405799999999998
2019-10-20;0.0;-0.050411645643169196;-0.071298152460071;-0.0224995
2019-10-27;0.0;-0.050638489461654404;-0.07161898200151198;0.048504966
2019-11-03;0.0;-0.0497019413115822;-0.07029440408031704;-0.010033090000000001
2019-11-10;0.0;-0.05113831794304757;-0.07232589896118645;0.02868302
2019-11-17;0.0;-0.05108947006544926;-0.07225681247571428;-0.006178002000000002
2019-11-24;0.0;-0.05158598519683822;-0.07295904330124772;0.004987809999999999
